,Keyword,TF_IDF
0,积水,0.1774548418299634
1,大家,0.06717742655609224
2,降雨,0.0663045252788308
3,朋友,0.05595342919646655
4,遇难者,0.05266785417229405
5,强降雨,0.05095080208209796
6,房山,0.050496721561865514
7,城市,0.04647990527605451
8,下水道,0.04309037814540653
9,天津,0.04293368210283074
10,气象台,0.04062464217531631
11,积水潭,0.0399129501445046
12,蓝色,0.038587209645755294
13,回家,0.038345471877614876
14,雨量,0.03803069984919126
15,悼念,0.03632594960187401
16,地区,0.035299170652173494
17,广渠门,0.03221269466824583
18,路段,0.0311082947258021
19,短信,0.030942708536856652
20,市民,0.030743567937926826
21,车门,0.030702639092471035
22,头枕,0.030612987898001053
23,台风,0.02904966286432803
24,车主,0.028431313125780608
25,天气,0.024012823053247055
26,插头,0.023944351099006056
27,地方,0.023570307604005334
28,天气预报,0.023509601852509145
29,雨灾,0.022693605198934885
30,玻璃,0.022225033081506442
31,人民,0.022177967640182754
32,政府,0.021966277538801968
33,童鞋,0.02195573693280992
34,小时,0.021659949247516755
35,平谷,0.021557145697490683
36,被淹,0.020634738733238914
37,时分,0.020491131554581668
38,山洪,0.020255109542692426
39,灾害,0.02018381997170642
40,防雨,0.02016531797227732
41,全市,0.019685805000608417
42,无法,0.019233541634253302
43,中国,0.019205837590382805
44,降雨量,0.01914079641325461
45,气象局,0.018866846171584642
46,人们,0.018576656215081446
47,座位,0.018543886080220482
48,地铁,0.018519267687395972
49,本市,0.018519014051446386
50,降水,0.018482725997674348
51,新闻,0.018469099864466806
52,密云,0.018450185604467203
53,泥石流,0.01842081115536673
54,信号,0.018222545586200928
55,雨水,0.018209409794070406
56,分布图,0.017910925904201187
57,房山区,0.01789637600501012
58,通州,0.017800936036366895
59,领导,0.01759439728064115
60,逝者,0.017516010153120907
61,亲们,0.017337982164682887
62,中雨,0.01673754448451668
63,时候,0.016027196053923092
64,群众,0.016021471680639433
65,遭遇,0.01594644205892295
66,雨具,0.015837130087717543
67,机场,0.01582051312336163
68,网友,0.01574000512526559
69,城市道路,0.01571260079517701
70,灾难,0.015591401678509382
71,收费,0.015507779670692572
72,私家车,0.015140392730438407
73,孩子,0.015051075470088169
74,同学,0.014854136644035062
75,常识,0.014807995077756106
76,深圳,0.014714380889967165
77,故宫,0.014695182251833389
78,地震,0.014653306288905939
79,车辆,0.014502168282918376
80,官方,0.014084187892470922
81,有车有房,0.014083919863449073
82,动车,0.01392932493200524
83,地图,0.013738416790763937
84,演唱会,0.013447429189796023
85,视频,0.01313591015830087
86,汽车,0.013083623548123627
87,问题,0.013036173096671827
88,图片,0.013013386104959085
89,韦森特,0.012863664186700208
90,老板,0.012822750591595244
91,洪水,0.012479501964335444
92,海景房,0.012442615087897449
93,降水量,0.011874351092641542
94,公司,0.01187074786801319
95,丝带,0.011784717096402183
96,天灾,0.01166539213412812
97,交通,0.011547092897637277
98,丁先生,0.011514257378793174
99,小心,0.011455400476773575
100,高峰,0.011386935359768634
101,情况,0.011254123075922336
102,男岁,0.011236639467433779
103,精神,0.011209597977730816
104,标准,0.011141570755264967
105,收费站,0.011106032271050876
106,水灾,0.010934052441774965
107,电话,0.01082887387646795
108,区域,0.010765206313929373
109,信息,0.010740527153011943
110,香港,0.010703484806404706
111,局地,0.010619931702931218
112,评论,0.010405142634966953
113,现场,0.01029131730609664
114,方向,0.010247511406419194
115,下场,0.010194213938531755
116,雨势,0.01014320194147542
117,谢谢,0.009825108666475279
118,立交桥,0.009763123692902468
119,海能,0.009762148315598577
120,青岛,0.009732305871609647
121,手机,0.009607214869991663
122,媒体,0.009560158605248677
123,风球,0.009549344941979551
124,部门,0.00951629667047745
125,山沟,0.00948541797035998
126,时间,0.00941558570746341
127,孕育出,0.009311524611868913
128,照片,0.009093522199660179
129,雷雨,0.009088315894527766
130,辖区,0.009043015187642094
131,个别,0.009036539673810075
132,家人,0.008965034557781637
133,河北,0.008886259571331894
134,丁志健,0.00884694691101121
135,地铁站,0.008827044275068476
136,部分,0.008628787586186864
137,航班,0.008618015614298199
138,高速公路,0.008611765151417195
139,设施,0.00859752320641874
140,天津人,0.008527379923454856
141,暴风雨,0.00848527271548763
142,雨伞,0.008397488907223721
143,伦敦,0.008354133947422014
144,损失,0.008348045092100055
145,民防,0.008306003467165129
146,市政府,0.00827254947914662
147,车船税,0.00826276011969684
148,雷电,0.008242406690329544
149,锤子,0.008216322511210539
150,世界,0.008191764634220113
151,报警,0.008173079657938294
152,倾盆,0.008124259617422863
153,司机,0.008116166526256373
154,李方洪,0.008101227248014096
155,人员,0.008100694063021753
156,员工,0.008095933134531311
157,事故,0.008033264482676376
158,人祸,0.007951204216454297
159,有车族,0.007914330476095166
160,德国,0.007888960576294523
161,人数,0.00785895424960883
162,国家,0.0077981723320744226
163,俏江南,0.007725094899689809
164,积极响应,0.007720757013486926
165,民众,0.007709891420801747
166,温馨,0.007708122964891377
167,车窗,0.007699063748663514
168,罚单,0.00766290305124445
169,消息,0.007638022907551944
170,爱心,0.007566078504569986
171,老百姓,0.007554450485421451
172,强度,0.0075237821133493105
173,结果,0.007509166067174682
174,灾情,0.007457864881303481
175,全城,0.007446997774666035
176,瀑布,0.007430690499603853
177,团城,0.007405268193596571
178,地铁口,0.007370854541729044
179,妻子,0.007281780299333459
180,感觉,0.00727006992761662
181,豆腐渣,0.007264401282088883
182,祝福,0.007255732914952904
183,城区,0.007229513001978403
184,系统,0.007228901145042559
185,水深,0.007215691398254085
186,设计标准,0.00718538083207584
187,经历,0.007182090179615862
188,京城,0.007155443287963798
189,房屋,0.00711884688534871
190,阵雨,0.007115687865927766
191,气象,0.007104712157623934
192,车队,0.00706909854880093
193,大城市,0.007068152469587622
194,上海,0.007044032404025904
195,高房价,0.0069963535119490425
196,博文,0.006987511433860006
197,建议,0.006830897688682355
198,理由,0.00677286467458989
199,技术,0.006757642421808209
